name,pageid,birth_year,death_year,married_year,divorced_year,married
Adam Levine,1084346,1979,,2014,,True
Ali Larter,691715,1976,,2009,,True
Alicia Keys,59720,1981,,2010,,True
Amanda Bynes,203421,1986,,,,False
Amanda Seyfried,1020882,1985,,,,False
America Ferrera,1254277,1984,,2011,,True
Amy Adams,3830432,1974,,2015,,True
Andrew Garfield,5993647,1983,,,,False
Angelina Jolie,5792809,1975,,1996,2000,True
Angelina Jolie,5792809,1975,,2000,2003,True
Angelina Jolie,5792809,1975,,2014,2016,True
Anna Nicole Smith,68335,1967,2007,,,False
Anne Hathaway,604244,1982,,2012,,True
Ashlee Simpson,700310,1984,,2008,2011,True
Ashlee Simpson,700310,1984,,2014,,True
Ashley Greene,16121057,1987,,,,False
Ashley Olsen,38314165,1986,,,,False
Ashley Tisdale,2190438,1985,,2014,,True
Ashton Kutcher,274539,1978,,2005,2013,True
Ashton Kutcher,274539,1978,,2015,,True
Audrina Patridge,7600033,1985,,2016,,True
Ben Affleck,159599,1972,,2005,2015,True
Blake Lively,2265561,1987,,2012,,True
Brad Pitt,44849,1963,,2000,2005,True
Brad Pitt,44849,1963,,2014,2016,True
Bradley Cooper,365352,1975,,2006,2007,True
Britney Spears,3382,1981,,2004,2004,True
Britney Spears,3382,1981,,2004,2007,True
Brooke Shields,18984642,1965,,1997,1999,True
Brooke Shields,18984642,1965,,2001,,True
Bruce Willis,64673,1955,,1987,2000,True
Bruce Willis,64673,1955,,2009,,True
Cameron Diaz,42104,1972,,2015,,True
Carmen Electra,18707123,1972,,1998,1999,True
Carmen Electra,18707123,1972,,2003,2007,True
Carrie Underwood,1535727,1983,,,,False
Chace Crawford,7176557,1985,,,,False
Channing Tatum,2095762,1980,,2009,,True
Charlie Sheen,278119,1965,,,,False
Charlize Theron,5132,1975,,,,False
Chris Brown,2627820,1989,,,,False
Chris Pine,4513237,1980,,,,False
Christina Aguilera,144171,1980,,2005,2011,True
Christina Applegate,19373302,1971,,2001,2007,True
Christina Applegate,19373302,1971,,2013,,True
Claire Danes,224484,1979,,2009,,True
Corbin Bleu,3591242,1989,,,,False
Courteney Cox,299717,1964,,1999,2013,True
Dakota Fanning,6162301,1994,,,,False
Demi Moore,187807,1962,,1980,1985,True
Demi Moore,187807,1962,,1987,2000,True
Demi Moore,187807,1962,,2005,2013,True
Denise Richards,37275,1971,,2002,2006,True
Denzel Washington,100692,1954,,1983,,True
Drew Barrymore,7886,1975,,1994,1995,True
Drew Barrymore,7886,1975,,2001,2002,True
Drew Barrymore,7886,1975,,2012,2016,True
Ellen DeGeneres,18307757,1958,,2008,,True
Ellen Pompeo,1690486,1969,,,,False
Emily Blunt,1054604,1983,,2010,,True
Emma Roberts,1434568,1991,,,,False
Emma Stone,3741746,1988,,,,False
Eva Longoria,886579,1975,,2002,2004,True
Eva Longoria,886579,1975,,2007,2011,True
Eva Longoria,886579,1975,,2016,,True
Eva Mendes,1031515,1974,,,,False
Evan Rachel Wood,1030991,1987,,2012,2014,True
George Clooney,158889,1961,,1989,1993,True
George Clooney,158889,1961,,2014,,True
Gwen Stefani,167805,1969,,2002,2016,True
Gwyneth Paltrow,42621,1972,,2003,2016,True
Halle Berry,13717,1966,,1993,1997,True
Halle Berry,13717,1966,,2001,2005,True
Halle Berry,13717,1966,,2013,2016,True
Hayden Panettiere,509997,1989,,,,False
Heather Locklear,174821,1961,,1986,1993,True
Heather Locklear,174821,1961,,1994,2007,True
Heidi Klum,276356,1973,,1997,2002,True
Heidi Klum,276356,1973,,2005,2015,True
Hilary Duff,9287211,1987,,2010,2016,True
Jake Gyllenhaal,508396,1980,,,,False
James Franco,1563002,1978,,,,False
Jamie Lynn Spears,97803,1991,,2014,,True
Janet Jackson,60070,1966,,1984,1985,True
Janet Jackson,60070,1966,,1991,2000,True
Janet Jackson,60070,1966,,2012,,True
January Jones,965935,1978,,,,False
Jennifer Aniston,39942,1969,,2000,2005,True
Jennifer Aniston,39942,1969,,2015,,True
Jennifer Garner,20949091,1972,,2000,2004,True
Jennifer Garner,20949091,1972,,2005,2015,True
Jennifer Hudson,518700,1981,,,,False
Jennifer Lawrence,12684530,1990,,,,False
Jenny McCarthy,11494260,1972,,1999,2005,True
Jenny McCarthy,11494260,1972,,2014,,True
